event,id,sample.id,date,storm.interval,time,date.time,q,turb,srp,bap,tp
SD,Storm 2-Above,54,2/22/2018,,10:00, 2/22/2018 10:00,,,,,252.9
SD,Storm 2-Above,55,2/22/2018,,11:00, 2/22/2018 11:00,,,,,
SD,Storm 2-Above,56,2/22/2018,,13:00, 2/22/2018 13:00,,,,,
SD,Storm 2-Above,57,2/22/2018,,15:00, 2/22/2018 15:00,,,188.6,,294.1
SD,Storm 2-Above,58,2/22/2018,,17:00, 2/22/2018 17:00,,,175.6,,313.6
SD,Storm 2-Above,59,2/22/2018,,19:00, 2/22/2018 19:00,,,199.6,,299.7
SD,Storm 2-Above,60,2/22/2018,,21:00, 2/22/2018 21:00,,,216.3,,293.5
SD,Storm 2-Above,61,2/22/2018,,23:00, 2/22/2018 23:00,,,172.2,,292.5
SD,Storm 2-Above,62,2/23/2018,,1:00, 2/23/2018 01:00,,,202,,311.6
SD,Storm 2-Above,63,2/23/2018,,3:00, 2/23/2018 03:00,,,211.8,,307.7
SD,Storm 2-Above,64,2/23/2018,,5:00, 2/23/2018 05:00,,,213.7,,301.2
SD,Storm 2-Above,65,2/23/2018,,7:00, 2/23/2018 07:00,,,208.8,,296.8
SD,Storm 2-Above,66,2/23/2018,,9:00, 2/23/2018 09:00,,,193.9,,301.2
SD,Storm 2-Above,67,2/23/2018,,10:00, 2/23/2018 10:00,,,185.5,,311
SD,Storm 2-Above,68,2/23/2018,,13:00, 2/23/2018 13:00,,,182,,316.3
SD,Storm 2-Above,69,2/23/2018,,16:00, 2/23/2018 16:00,,,160.1,,311.68
SD,Storm 2-Above,70,2/23/2018,,19:00, 2/23/2018 19:00,,,179.5,,317.12
SD,Storm 2-Above,71,2/23/2018,,22:00, 2/23/2018 22:00,,,145.7,,322
SD,Storm 2-Above,72,2/24/2018,,1:00, 2/24/2018 01:00,,,183.4,,321.92
SD,Storm 2-Above,73,2/24/2018,,4:00, 2/24/2018 04:00,,,146.2,,318.96
SD,Storm 2-Above,74,2/24/2018,,7:00, 2/24/2018 07:00,,,148.3,,329.36
SD,Storm 2-Above,75,2/24/2018,,10:00, 2/24/2018 10:00,,,183.8,,325.12
SD,Storm 2-Above,76,2/24/2018,,13:00, 2/24/2018 13:00,,,147.2,,305.04
SD,Storm 2-Above,77,2/24/2018,,16:00, 2/24/2018 16:00,,,147.7,,323.76
SD,Storm 2-Above,78,2/24/2018,,19:00, 2/24/2018 19:00,,,129.6,,294
SD,Storm 2-Above,79,2/24/2018,,22:00, 2/24/2018 22:00,,,138.1,,290.48
SD,Storm 2-Above,80,2/25/2018,,1:00, 2/25/2018 01:00,,,163.5,,298.64
SD,Storm 2-Above,81,2/25/2018,,4:00, 2/25/2018 04:00,,,135.5,,286.16
SD,Storm 2-Above,82,2/25/2018,,7:00, 2/25/2018 07:00,,,144.9,,288.72
SD,Storm 2-Above,83,2/25/2018,,10:00, 2/25/2018 10:00,,,129.3,,285.36
SD,Storm 2-Above,84,2/25/2018,,13:00, 2/25/2018 13:00,,,155.4,,279.04
SD,Storm 2-Above,85,2/25/2018,,16:00, 2/25/2018 16:00,,,151.1,,288.88
SD,Storm 2-Above,86,2/25/2018,,19:00, 2/25/2018 19:00,,,157.5,,294.16
SD,Storm 2-Above,87,2/25/2018,,22:00, 2/25/2018 22:00,,,154.5,,286.48
SD,Storm 2-Above,88,2/25/2018,,1:00, 2/25/2018 01:00,,,155.8,,273.44
